------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
2017/12/21 7:45:00	2017/12/21 8:00:00	HZPSBC13BHW	92.867	
2017/12/21 7:45:00	2017/12/21 8:00:00	HZPSBC14BHW	92.647	
2017/12/21 8:00:00	2017/12/21 8:15:00	HZPSBC13BHW	92.848	
2017/12/21 8:00:00	2017/12/21 8:15:00	HZPSBC14BHW	92.837	
2017/12/21 8:15:00	2017/12/21 8:30:00	HZPSBC13BHW	93.005	
2017/12/21 8:15:00	2017/12/21 8:30:00	HZPSBC14BHW	93.055	
2017/12/21 8:30:00	2017/12/21 8:45:00	HZPSBC13BHW	93.005	
2017/12/21 8:30:00	2017/12/21 8:45:00	HZPSBC14BHW	93.006	
2017/12/21 8:45:00	2017/12/21 9:00:00	HZPSBC13BHW	93.286	
2017/12/21 8:45:00	2017/12/21 9:00:00	HZPSBC14BHW	92.899	
2017/12/21 9:00:00	2017/12/21 9:15:00	HZPSBC13BHW	92.957	
2017/12/21 9:00:00	2017/12/21 9:15:00	HZPSBC14BHW	92.814	
2017/12/21 9:15:00	2017/12/21 9:30:00	HZPSBC13BHW	92.898	
2017/12/21 9:15:00	2017/12/21 9:30:00	HZPSBC14BHW	92.913	
2017/12/21 9:30:00	2017/12/21 9:45:00	HZPSBC13BHW	92.862	
2017/12/21 9:30:00	2017/12/21 9:45:00	HZPSBC14BHW	92.84	
2017/12/21 9:45:00	2017/12/21 10:00:00	HZPSBC13BHW	92.709	
2017/12/21 9:45:00	2017/12/21 10:00:00	HZPSBC14BHW	92.575	
2017/12/21 10:00:00	2017/12/21 10:15:00	HZPSBC13BHW	92.824	
2017/12/21 10:00:00	2017/12/21 10:15:00	HZPSBC14BHW	92.859	
2017/12/21 10:15:00	2017/12/21 10:30:00	HZPSBC13BHW	92.889	
2017/12/21 10:15:00	2017/12/21 10:30:00	HZPSBC14BHW	92.979	
2017/12/21 10:30:00	2017/12/21 10:45:00	HZPSBC13BHW	93.067	
2017/12/21 10:30:00	2017/12/21 10:45:00	HZPSBC14BHW	92.92	
2017/12/21 10:45:00	2017/12/21 11:00:00	HZPSBC13BHW	92.97	
2017/12/21 10:45:00	2017/12/21 11:00:00	HZPSBC14BHW	92.93	
2017/12/21 11:00:00	2017/12/21 11:15:00	HZPSBC13BHW	93.047	
2017/12/21 11:00:00	2017/12/21 11:15:00	HZPSBC14BHW	93.056	
2017/12/21 11:15:00	2017/12/21 11:30:00	HZPSBC13BHW	93.043	
2017/12/21 11:15:00	2017/12/21 11:30:00	HZPSBC14BHW	92.977	
2017/12/21 11:30:00	2017/12/21 11:45:00	HZPSBC13BHW	93.012	
2017/12/21 11:30:00	2017/12/21 11:45:00	HZPSBC14BHW	92.925	
2017/12/21 11:45:00	2017/12/21 12:00:00	HZPSBC13BHW	92.969	
2017/12/21 11:45:00	2017/12/21 12:00:00	HZPSBC14BHW	92.905	
2017/12/21 12:00:00	2017/12/21 12:15:00	HZPSBC13BHW	92.813	
2017/12/21 12:00:00	2017/12/21 12:15:00	HZPSBC14BHW	92.796	
2017/12/21 12:15:00	2017/12/21 12:30:00	HZPSBC13BHW	92.65	
